Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints,Arena
"Sun, Nov 20, 2022",7:00p,Memphis Grizzlies,115,Brooklyn Nets,127,Barclays Center
"Sun, Nov 20, 2022",7:00p,Miami Heat,87,Cleveland Cavaliers,113,Rocket Mortgage Fieldhouse
"Sun, Nov 20, 2022",7:00p,Golden State Warriors,127,Houston Rockets,120,Toyota Center
"Sun, Nov 20, 2022",7:30p,Denver Nuggets,98,Dallas Mavericks,97,American Airlines Center
"Sun, Nov 20, 2022",9:30p,San Antonio Spurs,92,Los Angeles Lakers,123,Crypto.com Arena
"Mon, Nov 21, 2022",7:00p,Atlanta Hawks,102,Cleveland Cavaliers,114,Rocket Mortgage Fieldhouse
"Mon, Nov 21, 2022",7:00p,Orlando Magic,102,Indiana Pacers,123,Gainbridge Fieldhouse
"Mon, Nov 21, 2022",8:00p,Boston Celtics,107,Chicago Bulls,121,United Center
"Mon, Nov 21, 2022",8:00p,Portland Trail Blazers,111,Milwaukee Bucks,119,Fiserv Forum
"Mon, Nov 21, 2022",8:00p,Miami Heat,101,Minnesota Timberwolves,105,Target Center
"Mon, Nov 21, 2022",8:00p,Golden State Warriors,83,New Orleans Pelicans,128,Smoothie King Center
"Mon, Nov 21, 2022",8:00p,New York Knicks,129,Oklahoma City Thunder,119,Paycom Center
"Mon, Nov 21, 2022",10:30p,Utah Jazz,114,Los Angeles Clippers,121,Crypto.com Arena
"Tue, Nov 22, 2022",7:30p,Brooklyn Nets,106,Philadelphia 76ers,115,Wells Fargo Center
"Tue, Nov 22, 2022",8:00p,Sacramento Kings,113,Memphis Grizzlies,109,FedEx Forum
"Tue, Nov 22, 2022",9:00p,Detroit Pistons,110,Denver Nuggets,108,Ball Arena
"Tue, Nov 22, 2022",10:00p,Los Angeles Lakers,105,Phoenix Suns,115,Footprint Center
"Wed, Nov 23, 2022",7:00p,Philadelphia 76ers,101,Charlotte Hornets,107,Spectrum Center
"Wed, Nov 23, 2022",7:00p,Portland Trail Blazers,96,Cleveland Cavaliers,114,Rocket Mortgage Fieldhouse
"Wed, Nov 23, 2022",7:00p,Minnesota Timberwolves,115,Indiana Pacers,101,Gainbridge Fieldhouse
"Wed, Nov 23, 2022",7:30p,Sacramento Kings,106,Atlanta Hawks,115,State Farm Arena
"Wed, Nov 23, 2022",7:30p,Dallas Mavericks,112,Boston Celtics,125,TD Garden
"Wed, Nov 23, 2022",7:30p,Washington Wizards,105,Miami Heat,113,FTX Arena
"Wed, Nov 23, 2022",7:30p,Brooklyn Nets,112,Toronto Raptors,98,Scotiabank Arena
"Wed, Nov 23, 2022",8:00p,Chicago Bulls,118,Milwaukee Bucks,113,Fiserv Forum
"Wed, Nov 23, 2022",8:00p,Denver Nuggets,131,Oklahoma City Thunder,126,Paycom Center
"Wed, Nov 23, 2022",8:00p,New Orleans Pelicans,129,San Antonio Spurs,110,AT&T Center
"Wed, Nov 23, 2022",9:00p,Detroit Pistons,125,Utah Jazz,116,Vivint Arena
"Wed, Nov 23, 2022",10:00p,Los Angeles Clippers,107,Golden State Warriors,124,Chase Center
"Fri, Nov 25, 2022",5:00p,Minnesota Timberwolves,108,Charlotte Hornets,110,Spectrum Center
"Fri, Nov 25, 2022",7:00p,Philadelphia 76ers,107,Orlando Magic,99,Amway Center
"Fri, Nov 25, 2022",7:30p,Portland Trail Blazers,132,New York Knicks,129,Madison Square Garden (IV)
"Fri, Nov 25, 2022",8:00p,Sacramento Kings,104,Boston Celtics,122,TD Garden
"Fri, Nov 25, 2022",8:00p,Atlanta Hawks,122,Houston Rockets,128,Toyota Center
"Fri, Nov 25, 2022",8:00p,Brooklyn Nets,117,Indiana Pacers,128,Gainbridge Fieldhouse
"Fri, Nov 25, 2022",8:00p,New Orleans Pelicans,111,Memphis Grizzlies,132,FedEx Forum
"Fri, Nov 25, 2022",8:00p,Washington Wizards,107,Miami Heat,110,FTX Arena
"Fri, Nov 25, 2022",8:00p,Cleveland Cavaliers,102,Milwaukee Bucks,117,Fiserv Forum
"Fri, Nov 25, 2022",8:00p,Chicago Bulls,119,Oklahoma City Thunder,123,Paycom Center
"Fri, Nov 25, 2022",8:00p,Los Angeles Lakers,105,San Antonio Spurs,94,AT&T Center
"Fri, Nov 25, 2022",9:00p,Detroit Pistons,102,Phoenix Suns,108,Footprint Center
"Fri, Nov 25, 2022",10:00p,Utah Jazz,118,Golden State Warriors,129,Chase Center
"Fri, Nov 25, 2022",10:30p,Denver Nuggets,114,Los Angeles Clippers,104,Crypto.com Arena
"Sat, Nov 26, 2022",5:00p,Dallas Mavericks,100,Toronto Raptors,105,Scotiabank Arena
"Sat, Nov 26, 2022",8:00p,Oklahoma City Thunder,105,Houston Rockets,118,Toyota Center
"Sat, Nov 26, 2022",8:00p,Los Angeles Lakers,143,San Antonio Spurs,138,AT&T Center
