Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Sat, Apr 10, 2021",8:30p,Los Angeles Lakers,126,Brooklyn Nets,101
"Sat, Apr 10, 2021",9:00p,Philadelphia 76ers,117,Oklahoma City Thunder,93
"Sat, Apr 10, 2021",9:00p,Sacramento Kings,112,Utah Jazz,128
"Sat, Apr 10, 2021",10:00p,Houston Rockets,109,Golden State Warriors,125
"Sat, Apr 10, 2021",10:00p,Washington Wizards,106,Phoenix Suns,134
"Sat, Apr 10, 2021",10:00p,Detroit Pistons,103,Portland Trail Blazers,118
"Sun, Apr 11, 2021",1:00p,Atlanta Hawks,105,Charlotte Hornets,101
"Sun, Apr 11, 2021",3:00p,Boston Celtics,105,Denver Nuggets,87
"Sun, Apr 11, 2021",7:00p,New Orleans Pelicans,116,Cleveland Cavaliers,109
"Sun, Apr 11, 2021",7:00p,Milwaukee Bucks,124,Orlando Magic,87
"Sun, Apr 11, 2021",8:00p,San Antonio Spurs,119,Dallas Mavericks,117
"Sun, Apr 11, 2021",8:00p,Indiana Pacers,132,Memphis Grizzlies,125
"Sun, Apr 11, 2021",8:00p,Chicago Bulls,117,Minnesota Timberwolves,121
"Sun, Apr 11, 2021",8:00p,Toronto Raptors,96,New York Knicks,102
"Sun, Apr 11, 2021",10:00p,Detroit Pistons,124,Los Angeles Clippers,131
"Sun, Apr 11, 2021",10:00p,Miami Heat,107,Portland Trail Blazers,98
"Mon, Apr 12, 2021",7:30p,Philadelphia 76ers,113,Dallas Mavericks,95
"Mon, Apr 12, 2021",7:30p,Los Angeles Lakers,96,New York Knicks,111
"Mon, Apr 12, 2021",8:00p,San Antonio Spurs,120,Orlando Magic,97
"Mon, Apr 12, 2021",9:00p,Chicago Bulls,90,Memphis Grizzlies,101
"Mon, Apr 12, 2021",9:00p,Sacramento Kings,110,New Orleans Pelicans,117
"Mon, Apr 12, 2021",9:00p,Washington Wizards,125,Utah Jazz,121
"Mon, Apr 12, 2021",10:00p,Denver Nuggets,107,Golden State Warriors,116
"Mon, Apr 12, 2021",10:00p,Houston Rockets,120,Phoenix Suns,126
"Tue, Apr 13, 2021",4:00p,Brooklyn Nets,127,Minnesota Timberwolves,97
"Tue, Apr 13, 2021",7:30p,Los Angeles Clippers,126,Indiana Pacers,115
"Tue, Apr 13, 2021",7:30p,Atlanta Hawks,108,Toronto Raptors,103
"Tue, Apr 13, 2021",8:00p,Los Angeles Lakers,101,Charlotte Hornets,93
"Tue, Apr 13, 2021",9:00p,Oklahoma City Thunder,96,Utah Jazz,106
"Tue, Apr 13, 2021",10:00p,Miami Heat,86,Phoenix Suns,106
"Tue, Apr 13, 2021",10:00p,Boston Celtics,116,Portland Trail Blazers,115
"Wed, Apr 14, 2021",4:30p,Milwaukee Bucks,130,Minnesota Timberwolves,105
"Wed, Apr 14, 2021",7:00p,Cleveland Cavaliers,103,Charlotte Hornets,90
"Wed, Apr 14, 2021",7:00p,Brooklyn Nets,117,Philadelphia 76ers,123
