Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Toronto Raptors,240,34,85,0.4,11,37,0.297,16,23,0.696,11,38,49,17,7,6,12,23,95,
Detroit Pistons,240,34,88,0.386,5,28,0.179,9,15,0.6,11,42,53,14,9,8,20,17,82,
Chicago Bulls,240,35,84,0.417,11,26,0.423,16,19,0.842,3,39,42,24,13,11,12,17,97,
New Orleans Pelicans,240,31,89,0.348,9,40,0.225,18,23,0.783,21,40,61,15,10,5,28,22,89,
Minnesota Timberwolves,240,39,96,0.406,12,38,0.316,6,10,0.6,13,34,47,22,13,8,19,25,96,
Milwaukee Bucks,240,44,83,0.53,15,35,0.429,18,22,0.818,7,37,44,21,6,5,20,15,121,
San Antonio Spurs,240,48,99,0.485,10,39,0.256,5,6,0.833,10,28,38,29,10,4,12,18,111,
Phoenix Suns,240,43,89,0.483,9,28,0.321,10,15,0.667,7,31,38,27,6,1,14,19,105,
Portland Trail Blazers,240,51,94,0.543,21,50,0.42,11,17,0.647,8,40,48,24,8,5,9,15,134,
Memphis Grizzlies,240,42,90,0.467,15,36,0.417,21,25,0.84,13,35,48,26,5,3,11,19,120,
Los Angeles Clippers,240,43,99,0.434,13,39,0.333,15,17,0.882,14,30,44,23,7,4,7,21,114,
