FG_home,FG%_home,3P%_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,TOV_home,RB_aggr_home,LogRatio_home,eFG%_home,TS%_home,FG_away,FG%_away,3P%_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,TOV_away,LogRatio_away,RB_aggr_away,eFG%_away,TS%_away,Winner
44.2,0.4754,0.4104,0.7652,12.2,37.4,49.6,26.4,9.2,16.2,0.3519,0.13784,0.54217,0.61911,39.2,0.4518,0.37,0.7934,9.2,30.8,40.0,22.8,8.2,14.4,-0.17028,0.26008,0.52059,0.58677,0
38.4,0.4476,0.3164,0.7926,8.0,37.4,45.4,25.2,7.6,15.6,0.20974,0.01307,0.50154,0.59903,40.4,0.4634,0.3662,0.7424,10.2,37.6,47.8,26.0,9.8,16.8,0.08938,0.30775,0.53825,0.61694,1
37.0,0.413,0.2994,0.6974,10.6,38.2,48.8,21.0,6.0,13.6,0.29707,-0.04658,0.46886,0.5284,37.2,0.4574,0.3188,0.6476,8.4,32.2,40.6,24.2,7.4,17.4,-0.17535,0.22643,0.51656,0.57808,0
40.8,0.4614,0.3172,0.7038,8.8,34.2,43.0,25.8,6.8,15.0,0.24717,-0.07931,0.51622,0.58022,36.6,0.419,0.2718,0.7788,8.0,39.6,47.6,19.8,7.2,15.6,-0.15034,0.20351,0.46353,0.5227,0
42.6,0.4596,0.37,0.8192,14.2,33.4,47.6,20.8,7.6,12.6,0.46709,0.06379,0.50593,0.56827,42.6,0.4972,0.31,0.741,8.4,31.0,39.4,26.8,10.2,11.4,0.09029,0.24703,0.54739,0.61453,1
42.0,0.472,0.3466,0.7222,11.6,33.8,45.4,25.2,8.0,15.0,0.34236,0.0347,0.52929,0.60686,38.8,0.4572,0.3126,0.7976,11.6,33.4,45.0,19.2,7.8,13.4,-0.03914,0.36061,0.51503,0.61119,1
39.8,0.457,0.321,0.7816,10.4,37.6,48.0,22.8,6.0,13.6,0.31465,-0.02916,0.51666,0.58942,36.8,0.4114,0.3166,0.7608,9.6,36.4,46.0,21.0,6.8,14.2,-0.11725,0.25119,0.46362,0.54601,0
44.2,0.508,0.3748,0.7838,10.4,33.8,44.2,24.2,6.6,14.4,0.38193,0.15891,0.57249,0.63623,42.0,0.467,0.3334,0.7596,10.4,35.2,45.6,24.6,8.4,11.6,0.08103,0.31433,0.53457,0.60069,0
38.4,0.4332,0.31,0.8454,11.2,36.4,47.6,23.8,5.2,17.8,0.33773,-0.02517,0.4864,0.55696,42.0,0.507,0.4078,0.7724,7.2,29.2,36.4,23.8,9.0,15.2,-0.01913,0.24002,0.57324,0.64948,0
36.8,0.4322,0.3522,0.8336,9.8,30.8,40.6,22.4,8.2,13.6,0.29089,-0.059,0.48677,0.56349,42.0,0.451,0.336,0.7802,10.2,34.6,44.8,21.4,8.4,13.8,-0.04483,0.28487,0.5138,0.57865,0
41.6,0.4762,0.347,0.79,10.6,40.4,51.0,25.8,5.0,13.8,0.33312,0.06251,0.54219,0.62787,42.6,0.4702,0.3286,0.7176,7.4,36.8,44.2,25.4,7.4,13.4,0.04109,0.20349,0.52809,0.58708,1
40.4,0.4522,0.3448,0.6868,10.2,31.0,41.2,23.0,7.8,13.4,0.28739,-0.13553,0.52983,0.59034,40.4,0.4304,0.2824,0.7578,11.6,32.8,44.4,23.0,7.6,13.2,-0.16358,0.29801,0.4807,0.54758,0
36.0,0.4652,0.359,0.6726,10.6,37.4,48.0,22.4,5.0,17.4,0.37698,0.05111,0.53404,0.60074,39.2,0.4244,0.2906,0.7918,11.0,30.0,41.0,23.2,8.6,13.4,-0.18988,0.29086,0.48472,0.55706,0
38.6,0.456,0.2876,0.7682,8.2,33.2,41.4,20.8,8.4,13.4,0.25069,-0.07132,0.50646,0.58576,39.4,0.4672,0.351,0.808,9.8,33.8,43.6,22.6,8.4,18.8,-0.0331,0.28658,0.52048,0.62261,0
41.0,0.457,0.3122,0.6976,9.4,34.0,43.4,22.8,7.8,13.2,0.26453,-0.12102,0.5186,0.58425,40.6,0.4896,0.4092,0.8238,8.0,38.2,46.2,23.0,7.4,15.0,0.15227,0.28862,0.55179,0.64374,0
46.2,0.4604,0.3382,0.786,11.4,35.2,46.6,24.6,8.4,11.4,0.30247,0.2009,0.51643,0.58041,35.2,0.4282,0.3788,0.8012,8.0,32.4,40.4,21.2,7.0,15.0,-0.09263,0.24141,0.5128,0.57651,1
42.0,0.4492,0.3722,0.7356,11.0,31.8,42.8,22.2,10.6,12.0,0.30028,-0.03063,0.49897,0.57371,40.0,0.4228,0.3352,0.7614,12.0,33.6,45.6,22.0,6.6,12.8,-0.14743,0.28497,0.47908,0.54195,0
41.6,0.4446,0.3684,0.7204,10.6,33.6,44.2,24.8,7.0,12.0,0.26601,-0.08682,0.52718,0.56899,37.6,0.4166,0.2794,0.7758,11.4,33.8,45.2,20.8,6.6,11.8,-0.13369,0.30351,0.46099,0.54428,0
43.6,0.46,0.3032,0.8062,14.2,35.4,49.6,22.8,8.2,15.2,0.40559,-0.01177,0.50805,0.5817,39.4,0.4486,0.334,0.8016,10.2,37.8,48.0,19.6,7.8,18.0,-0.01474,0.30388,0.51171,0.58908,1
43.8,0.4874,0.3536,0.8084,13.6,37.6,51.2,26.2,6.4,15.2,0.48977,0.19137,0.55573,0.62845,46.4,0.4946,0.3824,0.774,11.2,35.6,46.8,26.4,7.6,15.8,0.03951,0.33194,0.55873,0.61985,0
40.8,0.4632,0.3324,0.6778,9.6,31.8,41.4,22.6,8.0,15.2,0.284,-0.05531,0.52007,0.57444,37.0,0.4592,0.3296,0.7272,8.4,31.8,40.2,25.0,8.4,19.4,-0.14646,0.26992,0.52566,0.58737,1
37.4,0.4386,0.3414,0.9084,11.8,30.2,42.0,22.4,5.8,14.8,0.41893,-0.07729,0.49171,0.56969,38.0,0.4098,0.3954,0.7434,10.2,34.2,44.4,20.8,6.8,11.2,-0.08523,0.24575,0.47995,0.53624,1
42.6,0.4498,0.289,0.7218,13.4,35.2,48.6,25.6,9.6,17.2,0.38287,-0.10708,0.50495,0.57027,38.6,0.4022,0.287,0.7878,10.8,34.4,45.2,22.2,7.0,13.0,-0.20889,0.24972,0.44954,0.5154,0
40.6,0.4596,0.3684,0.8106,12.2,35.4,47.6,21.4,6.4,13.2,0.41886,0.02613,0.50381,0.57748,45.2,0.4728,0.3732,0.7088,13.8,35.4,49.2,25.0,6.4,15.6,0.01462,0.41648,0.53559,0.58391,0
43.4,0.5136,0.3554,0.7964,8.8,37.2,46.0,28.6,11.8,15.4,0.29388,0.25658,0.57261,0.65605,35.6,0.433,0.3124,0.798,9.8,32.4,42.2,20.2,8.0,18.6,-0.11697,0.27539,0.48862,0.58279,0
39.8,0.433,0.3606,0.7108,13.0,32.6,45.6,22.4,7.6,11.6,0.34903,-0.07722,0.49589,0.55434,45.0,0.4622,0.3782,0.6574,14.6,34.6,49.2,26.8,7.6,16.0,0.02602,0.415,0.53496,0.57373,0
42.8,0.4652,0.3698,0.7234,9.8,37.8,47.6,25.2,8.0,13.4,0.28527,-0.01594,0.5263,0.57429,40.6,0.4764,0.3036,0.7448,10.2,34.6,44.8,23.0,9.2,13.2,0.18918,0.28601,0.52942,0.60148,0
37.6,0.4162,0.2958,0.7352,9.8,37.8,47.6,21.6,6.8,13.6,0.27465,-0.07047,0.47026,0.534,39.2,0.4812,0.4148,0.8288,8.6,34.8,43.4,20.6,8.2,15.0,0.04845,0.2931,0.54681,0.63613,0
43.0,0.5054,0.3678,0.7972,9.8,33.4,43.2,24.0,6.8,14.8,0.36253,0.13033,0.56311,0.63019,41.6,0.4614,0.3684,0.7652,13.2,32.8,46.0,25.4,6.8,15.2,0.00949,0.43248,0.52485,0.59388,0
44.2,0.4822,0.4214,0.7216,11.8,37.2,49.0,27.6,8.6,17.4,0.3526,0.12023,0.55109,0.6178,45.8,0.4932,0.4062,0.8184,10.8,33.2,44.0,26.4,8.2,15.6,0.00746,0.32051,0.56249,0.6173,0
42.4,0.459,0.4188,0.7484,11.2,33.6,44.8,22.2,7.6,11.2,0.34087,0.00841,0.5121,0.58767,42.0,0.4746,0.3914,0.7458,10.4,35.8,46.2,27.0,10.4,15.4,0.14538,0.31229,0.55701,0.63197,1
36.6,0.4108,0.3016,0.6928,11.2,37.2,48.4,21.2,6.4,13.8,0.31525,-0.05817,0.46681,0.53051,43.2,0.5,0.2994,0.7378,9.0,33.2,42.2,25.6,10.6,11.6,0.21387,0.2594,0.54857,0.61444,1
42.0,0.5166,0.375,0.6748,8.0,36.6,44.6,23.8,8.8,16.8,0.27274,0.20193,0.57576,0.63482,38.2,0.4274,0.2886,0.8226,9.0,37.8,46.8,20.2,8.0,15.0,-0.11298,0.23507,0.47446,0.5404,1
40.4,0.444,0.392,0.8164,13.2,35.0,48.2,19.8,7.4,13.8,0.43089,-0.01332,0.49487,0.55792,40.2,0.4832,0.3204,0.6884,7.8,32.8,40.6,24.6,8.0,16.0,-0.11875,0.22574,0.53844,0.59,1
42.0,0.4456,0.3992,0.7714,11.4,32.4,43.8,21.4,9.0,11.6,0.31948,-0.01984,0.49928,0.57221,40.2,0.485,0.3036,0.7604,10.4,36.8,47.2,21.0,7.0,16.2,-0.00061,0.3448,0.54299,0.63928,1
41.8,0.4576,0.3588,0.7686,10.2,30.0,40.2,20.8,8.2,10.8,0.28044,0.05324,0.51709,0.57963,39.0,0.4494,0.3276,0.799,8.4,27.6,36.0,22.0,9.8,14.6,-0.2024,0.23133,0.50882,0.57503,1
41.0,0.457,0.3368,0.807,12.6,38.8,51.4,25.8,5.2,12.8,0.3574,0.03834,0.52231,0.60511,41.2,0.5044,0.374,0.7376,7.8,31.2,39.0,21.6,9.6,15.0,0.11242,0.27548,0.56545,0.62381,0
41.8,0.4696,0.4382,0.7908,8.6,35.2,43.8,26.4,11.4,15.0,0.23807,0.09729,0.53431,0.60445,42.4,0.4658,0.3524,0.7136,11.8,37.2,49.0,23.0,8.4,12.8,0.0833,0.3608,0.53025,0.58352,1
40.4,0.4664,0.3108,0.7202,9.2,33.6,42.8,23.2,7.0,15.4,0.27581,-0.04679,0.51557,0.58032,40.8,0.4806,0.357,0.7246,11.2,29.2,40.4,22.6,8.8,15.0,-0.05265,0.34852,0.53944,0.59802,0
38.2,0.4492,0.375,0.8494,10.0,30.4,40.4,24.0,8.8,13.4,0.30864,-0.00959,0.50618,0.59074,39.4,0.418,0.321,0.722,8.4,32.8,41.2,23.2,8.0,12.0,-0.22088,0.18018,0.48201,0.53468,0
36.8,0.4376,0.2998,0.781,8.8,39.0,47.8,23.4,8.0,16.6,0.23042,-0.0192,0.49234,0.59806,42.8,0.4502,0.3786,0.7166,14.6,32.6,47.2,24.0,7.4,15.8,-0.08204,0.43705,0.51062,0.56502,1
43.0,0.4998,0.3528,0.747,10.4,33.6,44.0,24.4,8.4,15.8,0.37526,0.17715,0.56025,0.61363,43.2,0.4738,0.3702,0.759,7.6,38.0,45.6,24.6,6.8,12.4,0.07636,0.21362,0.53854,0.59895,0
36.2,0.4488,0.2862,0.7876,9.0,34.0,43.0,18.8,8.8,14.2,0.30309,0.00897,0.50246,0.58873,42.4,0.4904,0.376,0.6962,7.4,37.0,44.4,23.8,6.6,14.6,0.00899,0.21549,0.55683,0.59936,0
41.0,0.4564,0.336,0.7286,10.6,37.2,47.8,25.6,8.6,16.2,0.28709,-0.01402,0.52781,0.60348,36.6,0.4676,0.3736,0.8328,7.6,36.6,44.2,19.4,6.2,15.8,0.04402,0.28096,0.52493,0.62274,0
42.4,0.4702,0.3478,0.7412,12.0,32.4,44.4,24.6,8.6,15.6,0.34672,-0.00683,0.52797,0.60439,37.4,0.4598,0.3724,0.8006,7.6,35.8,43.4,22.8,6.2,16.8,0.0091,0.23989,0.54517,0.60373,0
41.2,0.4416,0.281,0.78,14.0,34.8,48.8,20.8,7.8,15.8,0.39381,-0.0792,0.48314,0.55059,40.4,0.478,0.4244,0.7352,9.4,34.2,43.6,23.8,7.2,16.4,0.04561,0.29351,0.54739,0.60281,0
34.8,0.4532,0.3904,0.7564,9.6,36.2,45.8,22.4,5.4,16.0,0.31471,0.00967,0.52603,0.60742,39.4,0.4032,0.2982,0.747,10.6,35.2,45.8,24.2,6.8,12.6,-0.24436,0.23835,0.45845,0.5159,1
42.6,0.4582,0.3214,0.777,11.8,37.8,49.6,27.0,8.6,16.0,0.33254,-0.00142,0.52784,0.60259,35.2,0.4384,0.2924,0.764,8.8,33.2,42.0,23.4,8.0,18.6,-0.08874,0.28169,0.49902,0.56704,0
43.8,0.4962,0.4508,0.7478,10.8,37.0,47.8,27.8,8.6,15.8,0.34654,0.19514,0.57736,0.64186,38.4,0.4304,0.3892,0.7302,9.0,35.2,44.2,20.2,7.6,12.6,-0.06601,0.22226,0.49229,0.54984,1
42.6,0.4484,0.3666,0.7562,10.8,36.0,46.8,25.8,6.6,13.2,0.28093,-0.07971,0.52772,0.57531,40.2,0.4738,0.345,0.6634,9.0,32.0,41.0,24.4,8.6,14.0,-0.10772,0.25198,0.5339,0.5889,1
44.0,0.4778,0.4042,0.7798,10.0,33.8,43.8,28.4,9.2,12.4,0.28937,0.06786,0.54886,0.61797,44.2,0.4552,0.3756,0.6728,15.0,34.0,49.0,25.4,7.4,15.4,0.01546,0.42099,0.52724,0.56691,0
44.6,0.4878,0.4092,0.7896,9.2,34.2,43.4,29.6,10.2,13.0,0.27302,0.11976,0.5572,0.62825,40.2,0.4258,0.3688,0.7602,14.6,30.0,44.6,22.2,8.0,15.6,-0.17338,0.41201,0.48524,0.54631,1
41.2,0.4798,0.3568,0.7472,13.2,31.8,45.0,25.0,8.4,15.8,0.41146,0.09411,0.54697,0.62643,40.6,0.4472,0.3212,0.8016,9.6,35.8,45.4,22.0,7.4,14.4,-0.05138,0.27905,0.50462,0.57587,0
39.4,0.455,0.3544,0.708,12.8,34.8,47.6,24.0,7.0,15.0,0.37935,0.08737,0.52115,0.59675,39.4,0.415,0.392,0.7366,14.6,30.4,45.0,24.4,6.4,15.6,-0.16725,0.40438,0.48228,0.53505,0
38.6,0.4564,0.3528,0.786,8.6,35.0,43.6,24.4,5.6,16.8,0.25012,-0.00549,0.52048,0.58531,38.4,0.45,0.32,0.7186,11.6,32.4,44.0,21.4,9.2,14.0,0.05157,0.32194,0.50653,0.57497,1
37.4,0.4394,0.2948,0.8062,9.0,40.2,49.2,21.4,5.4,14.6,0.26215,-0.0183,0.49726,0.57395,39.8,0.4766,0.3438,0.7096,9.0,30.6,39.6,22.6,8.0,13.0,-0.08452,0.25644,0.54899,0.61088,0
43.4,0.5058,0.3874,0.8208,9.4,34.2,43.6,27.6,11.8,14.4,0.32277,0.22406,0.56845,0.64823,38.0,0.4138,0.2712,0.7032,9.8,34.4,44.2,19.0,8.8,13.0,-0.12712,0.24887,0.45781,0.54445,0
