FG_home,FG%_home,3P%_home,FT%_home,PTS_home,LogRatio_home,eFG%_home,TS%_home,FG_away,FG%_away,3P%_away,FT%_away,PTS_away,LogRatio_away,eFG%_away,TS%_away,HomeTeamWon,Winner
37.0,0.42833,0.30267,0.83367,103.33333,0.0525,0.47824,0.56139,46.33333,0.54233,0.37033,0.78567,115.0,0.02202,0.59665,0.64608,0.66667,0
44.33333,0.506,0.40167,0.721,114.33333,0.15572,0.57409,0.62206,35.33333,0.41333,0.355,0.77767,94.33333,0.18709,0.47801,0.52996,0.33333,1
44.66667,0.494,0.38567,0.71367,119.0,0.08619,0.56897,0.62318,37.0,0.46933,0.37167,0.834,107.66667,-0.02993,0.52959,0.63581,0.33333,0
37.0,0.41333,0.334,0.724,102.66667,-0.32398,0.46179,0.53726,38.33333,0.46733,0.35333,0.735,104.66667,-0.05478,0.53927,0.60318,0.66667,1
36.33333,0.45367,0.344,0.761,100.33333,-0.09463,0.52172,0.59021,42.0,0.469,0.26167,0.68867,106.33333,0.05968,0.51212,0.56408,0.33333,0
39.33333,0.48567,0.38733,0.82233,110.33333,0.23399,0.56532,0.64101,37.0,0.45733,0.37833,0.832,98.0,-0.07605,0.51501,0.57749,0.66667,0
35.66667,0.403,0.29233,0.81433,96.66667,-0.09095,0.45298,0.52057,39.66667,0.43467,0.31267,0.66233,97.0,-0.02686,0.47113,0.51104,0.66667,1
40.0,0.48067,0.47033,0.79267,114.33333,0.08799,0.56008,0.64016,40.0,0.48733,0.373,0.70933,106.66667,0.00585,0.55619,0.61446,0.33333,0
38.33333,0.44033,0.35633,0.785,105.33333,0.14681,0.49718,0.57043,43.33333,0.50933,0.39533,0.84833,121.66667,0.1184,0.57177,0.66574,0.0,0
38.0,0.47167,0.30333,0.749,104.66667,0.02707,0.52209,0.60456,40.66667,0.48033,0.296,0.67967,102.66667,0.04133,0.52504,0.57644,0.66667,1
34.0,0.403,0.34167,0.759,97.66667,0.08367,0.45994,0.54022,36.66667,0.41733,0.29967,0.7,100.33333,-0.02474,0.46087,0.53457,0.66667,1
39.33333,0.49267,0.43867,0.796,112.33333,0.01509,0.56555,0.65386,44.0,0.49767,0.50633,0.76167,118.33333,0.16688,0.57299,0.63411,0.0,0
38.33333,0.44433,0.34267,0.82933,107.0,-0.01503,0.49435,0.58219,41.33333,0.50333,0.40967,0.74233,113.0,0.08762,0.59107,0.65163,0.33333,1
