FG_home,FG%_home,3P%_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,TOV_home,PTS_home,LogRatio_home,RB_aggr_home,eFG%_home,TS%_home,FG_away,FG%_away,3P%_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,TOV_away,PTS_away,LogRatio_away,RB_aggr_away,eFG%_away,TS%_away,HomeTeamWon,Winner
39.33333,0.43167,0.35333,0.657,10.66667,32.33333,43.0,21.33333,8.33333,13.33333,99.0,-0.10441,0.2983,0.48846,0.52412,31.66667,0.371,0.29667,0.84333,15.33333,34.66667,50.0,18.33333,8.0,16.0,94.33333,-0.13069,0.45759,0.42732,0.51893,1.0,0
37.66667,0.43967,0.354,0.70633,14.0,33.0,47.0,18.33333,9.33333,15.33333,104.0,0.02095,0.46465,0.49033,0.56562,43.0,0.454,0.378,0.89133,15.33333,24.66667,40.0,27.33333,11.0,14.33333,114.66667,0.0015,0.47695,0.51583,0.57973,0.66667,0
45.0,0.48733,0.39233,0.72233,11.0,33.33333,44.33333,26.66667,8.0,12.0,114.0,0.11978,0.34808,0.54845,0.59301,37.33333,0.48233,0.42033,0.797,8.33333,33.66667,42.0,15.66667,8.66667,15.0,102.0,0.05278,0.2676,0.53165,0.61443,0.33333,1
36.33333,0.46867,0.405,0.83167,7.33333,36.0,43.33333,23.33333,10.66667,16.0,106.33333,0.19399,0.22678,0.55211,0.64167,45.33333,0.54933,0.38333,0.81033,8.66667,29.66667,38.33333,24.33333,8.66667,16.66667,114.33333,0.06671,0.35258,0.60389,0.66224,0.66667,0
47.66667,0.50933,0.35167,0.65067,12.0,32.33333,44.33333,25.0,8.0,16.33333,119.0,0.07072,0.38571,0.56808,0.60805,42.0,0.493,0.42833,0.75367,7.0,36.0,43.0,25.0,8.0,17.33333,114.66667,0.00831,0.19911,0.58239,0.63942,0.33333,1
35.66667,0.43633,0.35833,0.798,8.33333,32.66667,41.0,24.0,10.0,15.0,103.33333,0.12151,0.25486,0.50852,0.59314,36.33333,0.41533,0.32767,0.83967,11.66667,38.66667,50.33333,22.66667,8.0,14.66667,98.66667,0.06342,0.32779,0.47083,0.53799,0.33333,0
38.66667,0.42967,0.37867,0.64033,9.66667,33.33333,43.0,23.66667,10.0,10.66667,100.0,-0.01069,0.26169,0.49853,0.53522,36.33333,0.432,0.36867,0.78567,11.0,27.0,38.0,19.66667,7.66667,13.66667,102.33333,-0.11296,0.34552,0.50798,0.57587,0.66667,1
34.0,0.42133,0.31467,0.769,12.0,32.0,44.0,20.33333,8.33333,17.33333,94.66667,-0.12361,0.41145,0.47766,0.55103,33.33333,0.422,0.343,0.77767,9.66667,35.33333,45.0,18.66667,6.66667,15.0,100.0,-0.0205,0.30199,0.48306,0.58217,0.66667,1
34.66667,0.42167,0.32633,0.753,7.33333,34.0,41.33333,19.66667,6.33333,17.0,90.33333,-0.11707,0.19758,0.47848,0.52753,34.33333,0.414,0.34567,0.789,11.66667,30.66667,42.33333,19.0,8.66667,20.33333,98.33333,-0.18151,0.39582,0.46837,0.5552,0.66667,1
39.0,0.431,0.256,0.788,11.0,36.33333,47.33333,19.33333,6.0,12.0,111.33333,0.11105,0.29812,0.47746,0.57016,39.33333,0.48033,0.40233,0.735,10.66667,37.0,47.66667,22.33333,7.0,15.66667,106.66667,0.10553,0.36747,0.55659,0.61689,0.33333,1
42.66667,0.49033,0.32367,0.676,11.0,28.0,39.0,26.0,7.66667,17.0,109.33333,-0.0819,0.36196,0.54024,0.59418,37.33333,0.44433,0.33367,0.75567,11.0,37.0,48.0,20.0,8.66667,18.66667,105.33333,0.01201,0.32195,0.50497,0.58649,0.33333,0
35.0,0.42967,0.29,0.70733,7.66667,28.0,35.66667,15.66667,6.33333,14.0,95.0,-0.30513,0.20982,0.46568,0.5414,32.33333,0.41333,0.35333,0.71667,10.33333,29.33333,39.66667,16.33333,10.0,19.0,85.66667,-0.20395,0.31521,0.47356,0.52367,1.0,0
39.66667,0.486,0.28067,0.756,11.0,36.0,47.0,23.66667,7.0,19.33333,103.33333,-0.00445,0.38367,0.52776,0.59728,34.33333,0.42933,0.32233,0.72967,10.0,34.66667,44.66667,16.33333,7.0,15.0,101.33333,-0.07494,0.29386,0.48564,0.5813,0.66667,1
30.33333,0.39933,0.30333,0.78467,7.66667,33.0,40.66667,20.0,7.66667,18.0,87.66667,-0.25537,0.22334,0.45583,0.53904,38.33333,0.45233,0.391,0.77333,11.66667,35.0,46.66667,23.0,7.0,14.66667,109.66667,0.19389,0.37157,0.53481,0.60952,0.0,0
37.33333,0.445,0.36467,0.756,6.0,35.66667,41.66667,24.0,6.33333,12.0,99.66667,-0.05321,0.16713,0.5205,0.57005,36.33333,0.42567,0.37467,0.732,9.66667,32.33333,42.0,19.66667,7.0,18.66667,100.33333,-0.17181,0.29041,0.48208,0.55153,0.66667,0
43.66667,0.51333,0.43667,0.79967,8.66667,33.0,41.66667,29.0,7.66667,12.0,112.0,0.25273,0.31131,0.58436,0.63231,41.66667,0.49867,0.40967,0.802,7.0,36.0,43.0,28.66667,8.66667,13.0,115.33333,0.12557,0.21813,0.58439,0.65218,0.0,0
44.33333,0.48467,0.37,0.72233,10.66667,41.33333,52.0,21.66667,8.33333,12.66667,118.66667,0.16965,0.33492,0.53186,0.60902,41.0,0.45533,0.37033,0.71233,8.33333,32.66667,41.0,20.33333,9.66667,16.66667,111.66667,-0.04778,0.21261,0.505,0.57909,0.66667,1
37.0,0.42833,0.30267,0.83367,7.66667,37.33333,45.0,24.0,7.33333,11.66667,103.33333,0.0525,0.19024,0.47824,0.56139,46.33333,0.54233,0.37033,0.78567,8.66667,27.33333,36.0,22.66667,7.66667,15.33333,115.0,0.02202,0.34535,0.59665,0.64608,0.66667,0
44.33333,0.506,0.40167,0.721,10.66667,38.0,48.66667,27.66667,6.0,15.0,114.33333,0.15572,0.34435,0.57409,0.62206,35.33333,0.41333,0.355,0.77767,7.66667,40.33333,48.0,24.33333,11.66667,11.33333,94.33333,0.18709,0.19747,0.47801,0.52996,0.33333,1
44.66667,0.494,0.38567,0.71367,9.66667,31.0,40.66667,26.66667,8.66667,13.0,119.0,0.08619,0.30727,0.56897,0.62318,37.0,0.46933,0.37167,0.834,6.0,33.66667,39.66667,21.66667,7.33333,14.66667,107.66667,-0.02993,0.19874,0.52959,0.63581,0.33333,0
37.0,0.41333,0.334,0.724,12.33333,28.66667,41.0,20.33333,7.0,13.33333,102.66667,-0.32398,0.34005,0.46179,0.53726,38.33333,0.46733,0.35333,0.735,9.0,30.0,39.0,22.33333,9.66667,17.0,104.66667,-0.05478,0.27871,0.53927,0.60318,0.66667,1
36.33333,0.45367,0.344,0.761,12.33333,31.0,43.33333,22.66667,5.0,18.33333,100.33333,-0.09463,0.4411,0.52172,0.59021,42.0,0.469,0.26167,0.68867,7.33333,35.0,42.33333,24.33333,12.33333,14.33333,106.33333,0.05968,0.19361,0.51212,0.56408,0.33333,0
39.33333,0.48567,0.38733,0.82233,12.0,38.0,50.0,25.0,8.0,16.66667,110.33333,0.23399,0.49366,0.56532,0.64101,37.0,0.45733,0.37833,0.832,7.33333,33.33333,40.66667,23.66667,7.33333,16.0,98.0,-0.07605,0.22847,0.51501,0.57749,0.66667,0
35.66667,0.403,0.29233,0.81433,10.0,36.33333,46.33333,22.33333,7.0,14.66667,96.66667,-0.09095,0.2267,0.45298,0.52057,39.66667,0.43467,0.31267,0.66233,10.66667,36.0,46.66667,17.66667,8.33333,12.66667,97.0,-0.02686,0.2933,0.47113,0.51104,0.66667,1
