Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Thu, Nov 1, 2018",7:00p,Oklahoma City Thunder,111,Charlotte Hornets,107
"Thu, Nov 1, 2018",7:00p,Denver Nuggets,110,Cleveland Cavaliers,91
"Thu, Nov 1, 2018",7:00p,Los Angeles Clippers,113,Philadelphia 76ers,122
"Thu, Nov 1, 2018",7:30p,Sacramento Kings,146,Atlanta Hawks,115
"Thu, Nov 1, 2018",8:00p,Milwaukee Bucks,113,Boston Celtics,117
"Thu, Nov 1, 2018",10:30p,New Orleans Pelicans,119,Portland Trail Blazers,132
"Fri, Nov 2, 2018",7:00p,Los Angeles Clippers,120,Orlando Magic,95
"Fri, Nov 2, 2018",7:30p,Houston Rockets,119,Brooklyn Nets,111
"Fri, Nov 2, 2018",8:00p,Indiana Pacers,107,Chicago Bulls,105
"Fri, Nov 2, 2018",8:00p,Oklahoma City Thunder,134,Washington Wizards,111
"Fri, Nov 2, 2018",8:30p,New York Knicks,118,Dallas Mavericks,106
"Fri, Nov 2, 2018",9:00p,Memphis Grizzlies,110,Utah Jazz,100
"Fri, Nov 2, 2018",10:00p,Toronto Raptors,107,Phoenix Suns,98
"Fri, Nov 2, 2018",10:30p,Minnesota Timberwolves,99,Golden State Warriors,116
"Sat, Nov 3, 2018",1:00p,Detroit Pistons,99,Philadelphia 76ers,109
"Sat, Nov 3, 2018",7:00p,Cleveland Cavaliers,94,Charlotte Hornets,126
"Sat, Nov 3, 2018",7:00p,Boston Celtics,101,Indiana Pacers,102
"Sat, Nov 3, 2018",7:30p,Miami Heat,118,Atlanta Hawks,123
"Sat, Nov 3, 2018",8:00p,Houston Rockets,96,Chicago Bulls,88
"Sat, Nov 3, 2018",8:30p,New Orleans Pelicans,95,San Antonio Spurs,109
"Sat, Nov 3, 2018",9:00p,Utah Jazz,88,Denver Nuggets,103
"Sat, Nov 3, 2018",10:00p,Los Angeles Lakers,114,Portland Trail Blazers,110
"Sun, Nov 4, 2018",3:30p,Sacramento Kings,109,Milwaukee Bucks,144
"Sun, Nov 4, 2018",6:00p,Philadelphia 76ers,97,Brooklyn Nets,122
"Sun, Nov 4, 2018",6:00p,New York Knicks,95,Washington Wizards,108
"Sun, Nov 4, 2018",7:00p,Orlando Magic,117,San Antonio Spurs,110
"Sun, Nov 4, 2018",8:00p,Memphis Grizzlies,100,Phoenix Suns,102
"Sun, Nov 4, 2018",9:00p,Minnesota Timberwolves,81,Portland Trail Blazers,111
"Sun, Nov 4, 2018",9:30p,Toronto Raptors,121,Los Angeles Lakers,107
