Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Mon, Dec 11, 2017",8:00p,Boston Celtics,85,Chicago Bulls,108
"Mon, Dec 11, 2017",8:00p,New Orleans Pelicans,123,Houston Rockets,130
"Mon, Dec 11, 2017",8:00p,Miami Heat,107,Memphis Grizzlies,82
"Mon, Dec 11, 2017",8:00p,Charlotte Hornets,116,Oklahoma City Thunder,103
"Mon, Dec 11, 2017",10:30p,Portland Trail Blazers,104,Golden State Warriors,111
"Mon, Dec 11, 2017",10:30p,Toronto Raptors,91,Los Angeles Clippers,96
"Tue, Dec 12, 2017",7:00p,Atlanta Hawks,114,Cleveland Cavaliers,123
"Tue, Dec 12, 2017",7:00p,Denver Nuggets,103,Detroit Pistons,84
"Tue, Dec 12, 2017",7:00p,Los Angeles Lakers,109,New York Knicks,113
"Tue, Dec 12, 2017",7:30p,Washington Wizards,98,Brooklyn Nets,103
"Tue, Dec 12, 2017",8:30p,San Antonio Spurs,89,Dallas Mavericks,95
"Tue, Dec 12, 2017",9:30p,Philadelphia 76ers,118,Minnesota Timberwolves,112
"Tue, Dec 12, 2017",10:00p,Phoenix Suns,92,Sacramento Kings,99
"Wed, Dec 13, 2017",7:00p,Oklahoma City Thunder,100,Indiana Pacers,95
"Wed, Dec 13, 2017",7:00p,Los Angeles Clippers,106,Orlando Magic,95
"Wed, Dec 13, 2017",7:00p,Memphis Grizzlies,87,Washington Wizards,93
"Wed, Dec 13, 2017",7:30p,Denver Nuggets,118,Boston Celtics,124
"Wed, Dec 13, 2017",7:30p,Portland Trail Blazers,102,Miami Heat,95
"Wed, Dec 13, 2017",8:00p,Utah Jazz,100,Chicago Bulls,103
"Wed, Dec 13, 2017",8:00p,Milwaukee Bucks,108,New Orleans Pelicans,115
"Wed, Dec 13, 2017",9:00p,Toronto Raptors,115,Phoenix Suns,109
"Wed, Dec 13, 2017",9:30p,Charlotte Hornets,96,Houston Rockets,108
