,season,Team_away,index_sspg,FG_away,FG%_away,3P%_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,TOV_away,PTS_away,LogRatio_away,RB_aggr_away,eFG%_away,TS%_away,HomeTeamWon,Team_home,FG_home,FG%_home,3P%_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,TOV_home,PTS_home,LogRatio_home,RB_aggr_home,eFG%_home,TS%_home,index,Elo_pregame_away,Elo_pregame_home,Winner
0,2023,Atlanta Hawks,69,50.0,0.5309999999999999,0.389,0.789,10.0,35.5,45.5,26.5,5.5,9.0,127.0,0.1712860030696944,0.34523809523809523,0.5836637589214908,0.6424665183153642,0.0,Detroit Pistons,39.5,0.446,0.3285,0.749,12.0,29.0,41.0,20.5,3.0,11.5,112.5,-0.1712860030696944,0.3388888888888889,0.5046958855098389,0.5914980085503534,69,1505.7873665506293,1453.198639930774,1
1,2023,Atlanta Hawks,84,50.0,0.5229999999999999,0.431,0.789,11.0,32.5,43.5,25.0,5.0,9.0,125.5,0.0915417323989353,0.35,0.5883691599034876,0.6322449398416518,0.5,Milwaukee Bucks,43.5,0.437,0.33899999999999997,0.735,16.5,38.0,54.5,23.5,8.0,8.5,121.0,0.11847735776966985,0.4650406504065041,0.5050857598723574,0.5713942234478702,84,1502.5245037123173,1532.6263174404426,0
2,2023,Atlanta Hawks,98,42.0,0.47150000000000003,0.4135,0.8,9.5,30.0,39.5,23.5,3.0,15.0,112.0,-0.2238906011707228,0.2808035714285714,0.5388171225937184,0.5999471771345892,1.0,Toronto Raptors,39.5,0.442,0.3215,0.725,13.5,31.0,44.5,22.5,11.0,11.5,114.5,0.01762746110932581,0.42058823529411765,0.506066734074823,0.591236366734833,98,1487.2152507408157,1510.669709048501,0
3,2023,Boston Celtics,46,39.5,0.4265,0.3895,0.827,10.5,30.5,41.0,25.0,5.0,9.0,114.0,-0.08203796287281244,0.24939613526570042,0.5259770114942529,0.586569105457067,0.5,Chicago Bulls,38.0,0.444,0.3585,0.8685,12.0,35.5,47.5,24.0,8.0,11.5,108.0,-0.09028612282091046,0.3508064516129032,0.49332922824302133,0.589424362040847,46,1490.9454396761969,1500.9437854269502,0
4,2023,Brooklyn Nets,57,40.5,0.4675,0.2845,0.804,8.0,28.0,36.0,25.0,5.5,12.5,111.5,-0.13194798675797353,0.26057692307692304,0.5140002673082064,0.601618565941817,1.0,Milwaukee Bucks,43.5,0.504,0.397,0.6890000000000001,11.0,39.5,50.5,25.0,7.0,17.0,117.5,0.20177093022050718,0.35833333333333334,0.5794117647058823,0.6400697792128276,57,1485.2357650037134,1521.8617179432097,0
5,2023,Charlotte Hornets,37,47.5,0.5165,0.4355,0.7849999999999999,14.0,37.5,51.5,27.0,7.0,14.0,127.5,0.27394875608737423,0.4747126436781609,0.5815602836879432,0.6516472230268875,0.0,Atlanta Hawks,39.5,0.43,0.324,0.8795,12.5,33.0,45.5,24.5,9.0,14.5,108.5,-0.03445897033736495,0.34287925696594423,0.487551744529864,0.5612040409075734,37,1508.1471999915343,1491.8528000084657,1
6,2023,Charlotte Hornets,58,48.0,0.5085,0.421,0.6835,11.5,35.5,47.0,29.5,8.0,14.0,128.5,0.088214704901334,0.3737322515212982,0.571969696969697,0.6362195322793149,0.5,New York Knicks,47.5,0.499,0.33199999999999996,0.792,15.0,33.0,48.0,25.0,6.0,14.5,124.5,0.1028654489466008,0.5032467532467533,0.5571444407493626,0.6208255410098851,58,1508.1471999915343,1521.942168225849,0
7,2023,Charlotte Hornets,70,41.0,0.4395,0.354,0.667,9.5,35.0,44.5,26.0,6.0,14.5,112.0,-0.15684317011373922,0.24863201094391243,0.5041402396053558,0.5648433557751042,1.0,Orlando Magic,43.5,0.484,0.35550000000000004,0.6915,8.5,39.5,48.0,24.5,6.5,10.5,116.5,0.10531541170787914,0.26756756756756755,0.5527863777089783,0.6112178151662794,70,1491.7430583004882,1491.9325888903556,0
8,2023,Chicago Bulls,76,40.0,0.4465,0.29600000000000004,0.813,12.5,27.5,40.0,19.5,10.5,12.5,112.0,-0.042800048616574854,0.3676470588235294,0.4911136683288582,0.5858489718843505,1.0,San Antonio Spurs,43.0,0.46950000000000003,0.3135,0.761,11.0,32.0,43.0,29.5,7.5,17.5,115.5,-0.1408854842076899,0.33733733733733734,0.5336504580690627,0.5977050947585751,76,1508.3306228173064,1499.36688067736,0
9,2023,Cleveland Cavaliers,71,46.5,0.5409999999999999,0.525,0.827,8.5,36.5,45.0,25.0,4.5,16.0,130.0,0.25845855664902867,0.31517241379310346,0.6340094658553077,0.7089925011726437,0.0,Boston Celtics,44.0,0.5365,0.36850000000000005,0.7995,5.5,29.5,35.0,26.0,8.5,14.5,124.5,0.0025177949486491005,0.18686868686868685,0.6128048780487805,0.7026553044941566,71,1531.9365568162395,1487.8254423358846,1
10,2023,Dallas Mavericks,52,38.0,0.48350000000000004,0.354,0.663,8.0,30.5,38.5,17.5,7.0,11.5,108.0,-0.026492282400053,0.328125,0.5665853658536586,0.636201226684068,1.0,New Orleans Pelicans,46.0,0.5249999999999999,0.37,0.7475,9.0,26.5,35.5,27.5,7.5,15.5,117.0,0.00694449788839505,0.3183023872679045,0.5838493292053664,0.6364353086314779,52,1515.1511020354014,1507.5,0
