Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Tue, Jan 14, 2020",8:00p,Houston Rockets,110,Memphis Grizzlies,121
"Tue, Jan 14, 2020",8:00p,New York Knicks,102,Milwaukee Bucks,128
"Tue, Jan 14, 2020",10:30p,Dallas Mavericks,124,Golden State Warriors,97
"Tue, Jan 14, 2020",10:30p,Cleveland Cavaliers,103,Los Angeles Clippers,128
"Wed, Jan 15, 2020",7:00p,Detroit Pistons,116,Boston Celtics,103
"Wed, Jan 15, 2020",7:00p,Brooklyn Nets,106,Philadelphia 76ers,117
"Wed, Jan 15, 2020",7:30p,San Antonio Spurs,100,Miami Heat,106
"Wed, Jan 15, 2020",8:00p,Washington Wizards,106,Chicago Bulls,115
"Wed, Jan 15, 2020",8:00p,Indiana Pacers,104,Minnesota Timberwolves,99
"Wed, Jan 15, 2020",8:00p,Toronto Raptors,130,Oklahoma City Thunder,121
"Wed, Jan 15, 2020",9:00p,Charlotte Hornets,86,Denver Nuggets,100
"Wed, Jan 15, 2020",9:30p,Portland Trail Blazers,117,Houston Rockets,107
"Wed, Jan 15, 2020",10:00p,Dallas Mavericks,127,Sacramento Kings,123
"Wed, Jan 15, 2020",10:30p,Orlando Magic,119,Los Angeles Lakers,118
"Thu, Jan 16, 2020",7:30p,Phoenix Suns,121,New York Knicks,98
"Thu, Jan 16, 2020",8:00p,Boston Celtics,123,Milwaukee Bucks,128
"Thu, Jan 16, 2020",8:00p,Utah Jazz,132,New Orleans Pelicans,138
"Thu, Jan 16, 2020",10:30p,Denver Nuggets,134,Golden State Warriors,131
"Thu, Jan 16, 2020",10:30p,Orlando Magic,95,Los Angeles Clippers,122
"Fri, Jan 17, 2020",7:00p,Minnesota Timberwolves,114,Indiana Pacers,116
"Fri, Jan 17, 2020",7:00p,Chicago Bulls,89,Philadelphia 76ers,100
"Fri, Jan 17, 2020",7:00p,Washington Wizards,111,Toronto Raptors,140
"Fri, Jan 17, 2020",8:00p,Cleveland Cavaliers,109,Memphis Grizzlies,113
"Fri, Jan 17, 2020",8:00p,Miami Heat,115,Oklahoma City Thunder,108
"Fri, Jan 17, 2020",8:30p,Atlanta Hawks,121,San Antonio Spurs,120
"Fri, Jan 17, 2020",9:30p,Portland Trail Blazers,112,Dallas Mavericks,120
"Sat, Jan 18, 2020",3:30p,Los Angeles Clippers,133,New Orleans Pelicans,130
"Sat, Jan 18, 2020",6:00p,Milwaukee Bucks,117,Brooklyn Nets,97
"Sat, Jan 18, 2020",7:00p,Phoenix Suns,123,Boston Celtics,119
"Sat, Jan 18, 2020",7:30p,Detroit Pistons,136,Atlanta Hawks,103
"Sat, Jan 18, 2020",7:30p,Philadelphia 76ers,90,New York Knicks,87
"Sat, Jan 18, 2020",8:00p,Cleveland Cavaliers,116,Chicago Bulls,118
"Sat, Jan 18, 2020",8:00p,Toronto Raptors,122,Minnesota Timberwolves,112
"Sat, Jan 18, 2020",8:30p,Orlando Magic,95,Golden State Warriors,109
"Sat, Jan 18, 2020",8:30p,Los Angeles Lakers,124,Houston Rockets,115
"Sat, Jan 18, 2020",9:00p,Portland Trail Blazers,106,Oklahoma City Thunder,119
"Sat, Jan 18, 2020",9:00p,Sacramento Kings,101,Utah Jazz,123
"Sun, Jan 19, 2020",3:00p,Miami Heat,102,San Antonio Spurs,107
"Sun, Jan 19, 2020",8:00p,Indiana Pacers,115,Denver Nuggets,107
"Mon, Jan 20, 2020",2:00p,Detroit Pistons,100,Washington Wizards,106
"Mon, Jan 20, 2020",2:30p,Toronto Raptors,122,Atlanta Hawks,117
"Mon, Jan 20, 2020",3:00p,Philadelphia 76ers,117,Brooklyn Nets,111
"Mon, Jan 20, 2020",5:00p,Orlando Magic,106,Charlotte Hornets,83
"Mon, Jan 20, 2020",5:00p,New York Knicks,106,Cleveland Cavaliers,86
"Mon, Jan 20, 2020",5:00p,Oklahoma City Thunder,112,Houston Rockets,107
"Mon, Jan 20, 2020",5:00p,New Orleans Pelicans,126,Memphis Grizzlies,116
"Mon, Jan 20, 2020",5:00p,Sacramento Kings,113,Miami Heat,118
"Mon, Jan 20, 2020",5:00p,Chicago Bulls,98,Milwaukee Bucks,111
"Mon, Jan 20, 2020",7:30p,Los Angeles Lakers,107,Boston Celtics,139
"Mon, Jan 20, 2020",8:00p,Denver Nuggets,107,Minnesota Timberwolves,100
"Mon, Jan 20, 2020",9:00p,San Antonio Spurs,120,Phoenix Suns,118
"Mon, Jan 20, 2020",9:00p,Indiana Pacers,88,Utah Jazz,118
"Mon, Jan 20, 2020",10:00p,Golden State Warriors,124,Portland Trail Blazers,129
"Tue, Jan 21, 2020",8:30p,Los Angeles Clippers,110,Dallas Mavericks,107
"Wed, Jan 22, 2020",7:00p,Sacramento Kings,106,Detroit Pistons,127
"Wed, Jan 22, 2020",7:00p,Oklahoma City Thunder,120,Orlando Magic,114
"Wed, Jan 22, 2020",7:00p,Philadelphia 76ers,95,Toronto Raptors,107
"Wed, Jan 22, 2020",7:30p,Los Angeles Clippers,95,Atlanta Hawks,102
"Wed, Jan 22, 2020",7:30p,Memphis Grizzlies,95,Boston Celtics,119
"Wed, Jan 22, 2020",7:30p,Washington Wizards,129,Miami Heat,134
"Wed, Jan 22, 2020",7:30p,Los Angeles Lakers,100,New York Knicks,92
"Wed, Jan 22, 2020",8:00p,Minnesota Timberwolves,110,Chicago Bulls,117
"Wed, Jan 22, 2020",8:00p,Denver Nuggets,105,Houston Rockets,121
"Wed, Jan 22, 2020",9:00p,Indiana Pacers,112,Phoenix Suns,87
"Wed, Jan 22, 2020",9:30p,San Antonio Spurs,121,New Orleans Pelicans,117
"Wed, Jan 22, 2020",10:00p,Utah Jazz,129,Golden State Warriors,96
"Thu, Jan 23, 2020",7:00p,Washington Wizards,124,Cleveland Cavaliers,112
"Thu, Jan 23, 2020",8:00p,Los Angeles Lakers,128,Brooklyn Nets,113
"Thu, Jan 23, 2020",10:30p,Dallas Mavericks,133,Portland Trail Blazers,125
"Fri, Jan 24, 2020",3:00p,Milwaukee Bucks,116,Charlotte Hornets,103
"Fri, Jan 24, 2020",7:00p,Memphis Grizzlies,125,Detroit Pistons,112
"Fri, Jan 24, 2020",7:00p,Boston Celtics,109,Orlando Magic,98
"Fri, Jan 24, 2020",7:30p,Toronto Raptors,118,New York Knicks,112
"Fri, Jan 24, 2020",8:00p,Sacramento Kings,98,Chicago Bulls,81
"Fri, Jan 24, 2020",8:00p,Los Angeles Clippers,122,Miami Heat,117
"Fri, Jan 24, 2020",8:00p,Houston Rockets,131,Minnesota Timberwolves,124
"Fri, Jan 24, 2020",8:00p,Denver Nuggets,113,New Orleans Pelicans,106
"Fri, Jan 24, 2020",8:00p,Atlanta Hawks,111,Oklahoma City Thunder,140
"Fri, Jan 24, 2020",8:30p,Phoenix Suns,103,San Antonio Spurs,99
"Fri, Jan 24, 2020",10:30p,Indiana Pacers,129,Golden State Warriors,118
"Sat, Jan 25, 2020",5:00p,Dallas Mavericks,107,Utah Jazz,112
"Sat, Jan 25, 2020",7:00p,Brooklyn Nets,121,Detroit Pistons,111
"Sat, Jan 25, 2020",8:00p,Chicago Bulls,118,Cleveland Cavaliers,106
"Sat, Jan 25, 2020",8:00p,Oklahoma City Thunder,113,Minnesota Timberwolves,104
"Sat, Jan 25, 2020",8:30p,Los Angeles Lakers,91,Philadelphia 76ers,108
"Sun, Jan 26, 2020",3:30p,Houston Rockets,110,Denver Nuggets,117
"Sun, Jan 26, 2020",4:00p,Toronto Raptors,110,San Antonio Spurs,106
"Sun, Jan 26, 2020",6:00p,Washington Wizards,133,Atlanta Hawks,152
"Sun, Jan 26, 2020",6:00p,Phoenix Suns,109,Memphis Grizzlies,114
"Sun, Jan 26, 2020",6:00p,Boston Celtics,108,New Orleans Pelicans,123
"Sun, Jan 26, 2020",6:00p,Brooklyn Nets,97,New York Knicks,110
"Sun, Jan 26, 2020",6:00p,Los Angeles Clippers,112,Orlando Magic,97
"Sun, Jan 26, 2020",9:00p,Indiana Pacers,129,Portland Trail Blazers,139
"Mon, Jan 27, 2020",7:00p,Cleveland Cavaliers,115,Detroit Pistons,100
"Mon, Jan 27, 2020",7:30p,Orlando Magic,92,Miami Heat,113
"Mon, Jan 27, 2020",8:00p,San Antonio Spurs,109,Chicago Bulls,110
