Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Mon, Aug 10, 2020",8:00p,Indiana Pacers,92,Miami Heat,114
"Mon, Aug 10, 2020",9:00p,Denver Nuggets,121,Los Angeles Lakers,124
"Tue, Aug 11, 2020",1:00p,Brooklyn Nets,108,Orlando Magic,96
"Tue, Aug 11, 2020",2:00p,Houston Rockets,105,San Antonio Spurs,123
"Tue, Aug 11, 2020",4:30p,Phoenix Suns,130,Philadelphia 76ers,117
"Tue, Aug 11, 2020",5:00p,Boston Celtics,122,Memphis Grizzlies,107
"Tue, Aug 11, 2020",6:30p,Portland Trail Blazers,134,Dallas Mavericks,131
"Tue, Aug 11, 2020",9:00p,New Orleans Pelicans,106,Sacramento Kings,112
"Tue, Aug 11, 2020",9:00p,Milwaukee Bucks,126,Washington Wizards,113
"Wed, Aug 12, 2020",4:00p,Indiana Pacers,108,Houston Rockets,104
"Wed, Aug 12, 2020",6:30p,Toronto Raptors,125,Philadelphia 76ers,121
"Wed, Aug 12, 2020",8:00p,Miami Heat,115,Oklahoma City Thunder,116
"Wed, Aug 12, 2020",9:00p,Los Angeles Clippers,124,Denver Nuggets,111
"Thu, Aug 13, 2020",12:00p,Washington Wizards,96,Boston Celtics,90
"Thu, Aug 13, 2020",1:30p,Sacramento Kings,136,Los Angeles Lakers,122
"Thu, Aug 13, 2020",4:00p,Milwaukee Bucks,106,Memphis Grizzlies,119
"Thu, Aug 13, 2020",4:00p,Dallas Mavericks,102,Phoenix Suns,128
"Thu, Aug 13, 2020",6:30p,San Antonio Spurs,112,Utah Jazz,118
"Thu, Aug 13, 2020",9:00p,Portland Trail Blazers,134,Brooklyn Nets,133
"Thu, Aug 13, 2020",9:00p,New Orleans Pelicans,127,Orlando Magic,133
"Fri, Aug 14, 2020",1:30p,Denver Nuggets,109,Toronto Raptors,117
"Fri, Aug 14, 2020",4:00p,Miami Heat,92,Indiana Pacers,109
"Fri, Aug 14, 2020",6:30p,Oklahoma City Thunder,103,Los Angeles Clippers,107
"Fri, Aug 14, 2020",9:00p,Philadelphia 76ers,134,Houston Rockets,96
"Sat, Aug 15, 2020",2:30p,Memphis Grizzlies,122,Portland Trail Blazers,126
"Mon, Aug 17, 2020",1:30p,Utah Jazz,125,Denver Nuggets,135
"Mon, Aug 17, 2020",4:00p,Brooklyn Nets,110,Toronto Raptors,134
"Mon, Aug 17, 2020",6:30p,Philadelphia 76ers,101,Boston Celtics,109
"Mon, Aug 17, 2020",9:00p,Dallas Mavericks,110,Los Angeles Clippers,118
"Tue, Aug 18, 2020",1:30p,Orlando Magic,122,Milwaukee Bucks,110
"Tue, Aug 18, 2020",4:00p,Miami Heat,113,Indiana Pacers,101
"Tue, Aug 18, 2020",6:30p,Oklahoma City Thunder,108,Houston Rockets,123
"Tue, Aug 18, 2020",9:00p,Portland Trail Blazers,100,Los Angeles Lakers,93
"Wed, Aug 19, 2020",1:30p,Brooklyn Nets,99,Toronto Raptors,104
"Wed, Aug 19, 2020",4:00p,Utah Jazz,124,Denver Nuggets,105
"Wed, Aug 19, 2020",6:30p,Philadelphia 76ers,101,Boston Celtics,128
"Wed, Aug 19, 2020",9:00p,Dallas Mavericks,127,Los Angeles Clippers,114
"Thu, Aug 20, 2020",1:00p,Miami Heat,109,Indiana Pacers,100
"Thu, Aug 20, 2020",3:30p,Oklahoma City Thunder,98,Houston Rockets,111
"Thu, Aug 20, 2020",6:00p,Orlando Magic,96,Milwaukee Bucks,111
"Thu, Aug 20, 2020",9:00p,Portland Trail Blazers,88,Los Angeles Lakers,111
"Fri, Aug 21, 2020",1:30p,Toronto Raptors,117,Brooklyn Nets,92
"Fri, Aug 21, 2020",4:00p,Denver Nuggets,87,Utah Jazz,124
"Fri, Aug 21, 2020",6:30p,Boston Celtics,102,Philadelphia 76ers,94
"Fri, Aug 21, 2020",9:00p,Los Angeles Clippers,130,Dallas Mavericks,122
"Sat, Aug 22, 2020",1:00p,Milwaukee Bucks,121,Orlando Magic,107
"Sat, Aug 22, 2020",3:30p,Indiana Pacers,115,Miami Heat,124
"Sat, Aug 22, 2020",6:00p,Houston Rockets,107,Oklahoma City Thunder,119
"Sat, Aug 22, 2020",8:30p,Los Angeles Lakers,116,Portland Trail Blazers,108
"Sun, Aug 23, 2020",1:00p,Boston Celtics,110,Philadelphia 76ers,106
"Sun, Aug 23, 2020",3:30p,Los Angeles Clippers,133,Dallas Mavericks,135
"Sun, Aug 23, 2020",6:30p,Toronto Raptors,150,Brooklyn Nets,122
"Sun, Aug 23, 2020",9:00p,Denver Nuggets,127,Utah Jazz,129
"Mon, Aug 24, 2020",1:30p,Milwaukee Bucks,121,Orlando Magic,106
"Mon, Aug 24, 2020",4:00p,Houston Rockets,114,Oklahoma City Thunder,117
"Mon, Aug 24, 2020",6:30p,Indiana Pacers,87,Miami Heat,99
"Mon, Aug 24, 2020",9:00p,Los Angeles Lakers,135,Portland Trail Blazers,115
