Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Sun, Dec 1, 2019",3:00p,Miami Heat,109,Brooklyn Nets,106
"Sun, Dec 1, 2019",3:30p,Memphis Grizzlies,115,Minnesota Timberwolves,107
"Sun, Dec 1, 2019",3:30p,Boston Celtics,113,New York Knicks,104
"Sun, Dec 1, 2019",4:00p,Dallas Mavericks,114,Los Angeles Lakers,100
"Sun, Dec 1, 2019",5:00p,San Antonio Spurs,98,Detroit Pistons,132
"Sun, Dec 1, 2019",5:00p,Oklahoma City Thunder,107,New Orleans Pelicans,104
"Sun, Dec 1, 2019",6:00p,Golden State Warriors,96,Orlando Magic,100
"Sun, Dec 1, 2019",6:00p,Utah Jazz,110,Toronto Raptors,130
"Sun, Dec 1, 2019",10:30p,Washington Wizards,125,Los Angeles Clippers,150
"Mon, Dec 2, 2019",7:00p,Phoenix Suns,109,Charlotte Hornets,104
"Mon, Dec 2, 2019",7:00p,Utah Jazz,94,Philadelphia 76ers,103
"Mon, Dec 2, 2019",7:30p,Golden State Warriors,79,Atlanta Hawks,104
"Mon, Dec 2, 2019",8:00p,Indiana Pacers,117,Memphis Grizzlies,104
"Mon, Dec 2, 2019",8:00p,New York Knicks,88,Milwaukee Bucks,132
"Mon, Dec 2, 2019",10:00p,Chicago Bulls,113,Sacramento Kings,106
"Tue, Dec 3, 2019",7:00p,Detroit Pistons,127,Cleveland Cavaliers,94
"Tue, Dec 3, 2019",7:00p,Orlando Magic,127,Washington Wizards,120
"Tue, Dec 3, 2019",7:30p,Dallas Mavericks,118,New Orleans Pelicans,97
"Tue, Dec 3, 2019",7:30p,Miami Heat,121,Toronto Raptors,110
"Tue, Dec 3, 2019",8:30p,Houston Rockets,133,San Antonio Spurs,135
"Tue, Dec 3, 2019",9:00p,Los Angeles Lakers,105,Denver Nuggets,96
"Tue, Dec 3, 2019",10:00p,Portland Trail Blazers,97,Los Angeles Clippers,117
"Wed, Dec 4, 2019",7:00p,Golden State Warriors,91,Charlotte Hornets,106
"Wed, Dec 4, 2019",7:00p,Milwaukee Bucks,127,Detroit Pistons,103
"Wed, Dec 4, 2019",7:00p,Phoenix Suns,114,Orlando Magic,128
"Wed, Dec 4, 2019",7:30p,Brooklyn Nets,130,Atlanta Hawks,118
"Wed, Dec 4, 2019",7:30p,Miami Heat,93,Boston Celtics,112
"Wed, Dec 4, 2019",8:00p,Memphis Grizzlies,99,Chicago Bulls,106
"Wed, Dec 4, 2019",8:00p,Indiana Pacers,107,Oklahoma City Thunder,100
"Wed, Dec 4, 2019",8:30p,Minnesota Timberwolves,114,Dallas Mavericks,121
"Wed, Dec 4, 2019",9:00p,Los Angeles Lakers,121,Utah Jazz,96
"Wed, Dec 4, 2019",10:00p,Sacramento Kings,116,Portland Trail Blazers,127
"Thu, Dec 5, 2019",7:00p,Philadelphia 76ers,113,Washington Wizards,119
"Thu, Dec 5, 2019",7:30p,Denver Nuggets,129,New York Knicks,92
"Thu, Dec 5, 2019",7:30p,Houston Rockets,119,Toronto Raptors,109
"Thu, Dec 5, 2019",8:00p,Phoenix Suns,139,New Orleans Pelicans,132
"Fri, Dec 6, 2019",7:00p,Brooklyn Nets,111,Charlotte Hornets,104
"Fri, Dec 6, 2019",7:00p,Orlando Magic,93,Cleveland Cavaliers,87
"Fri, Dec 6, 2019",7:00p,Indiana Pacers,101,Detroit Pistons,108
"Fri, Dec 6, 2019",8:00p,Denver Nuggets,95,Boston Celtics,108
"Fri, Dec 6, 2019",8:00p,Golden State Warriors,100,Chicago Bulls,98
"Fri, Dec 6, 2019",8:00p,Washington Wizards,103,Miami Heat,112
"Fri, Dec 6, 2019",8:00p,Minnesota Timberwolves,127,Oklahoma City Thunder,139
"Fri, Dec 6, 2019",8:30p,Los Angeles Clippers,91,Milwaukee Bucks,119
"Fri, Dec 6, 2019",8:30p,Sacramento Kings,104,San Antonio Spurs,105
"Fri, Dec 6, 2019",10:30p,Los Angeles Lakers,136,Portland Trail Blazers,113
"Sat, Dec 7, 2019",2:00p,New Orleans Pelicans,84,Dallas Mavericks,130
"Sat, Dec 7, 2019",7:30p,Indiana Pacers,104,New York Knicks,103
"Sat, Dec 7, 2019",7:30p,Cleveland Cavaliers,94,Philadelphia 76ers,141
"Sat, Dec 7, 2019",8:00p,Phoenix Suns,109,Houston Rockets,115
"Sat, Dec 7, 2019",10:00p,Memphis Grizzlies,112,Utah Jazz,126
"Sun, Dec 8, 2019",3:00p,Denver Nuggets,102,Brooklyn Nets,105
"Sun, Dec 8, 2019",5:00p,Atlanta Hawks,122,Charlotte Hornets,107
"Sun, Dec 8, 2019",6:00p,Chicago Bulls,105,Miami Heat,110
"Sun, Dec 8, 2019",6:00p,Toronto Raptors,104,Philadelphia 76ers,110
"Sun, Dec 8, 2019",6:00p,Los Angeles Clippers,135,Washington Wizards,119
"Sun, Dec 8, 2019",7:00p,Sacramento Kings,110,Dallas Mavericks,106
"Sun, Dec 8, 2019",9:00p,Oklahoma City Thunder,108,Portland Trail Blazers,96
"Sun, Dec 8, 2019",9:30p,Minnesota Timberwolves,125,Los Angeles Lakers,142
"Mon, Dec 9, 2019",7:00p,Los Angeles Clippers,110,Indiana Pacers,99
"Mon, Dec 9, 2019",7:30p,Cleveland Cavaliers,88,Boston Celtics,110
"Mon, Dec 9, 2019",8:00p,Toronto Raptors,93,Chicago Bulls,92
"Mon, Dec 9, 2019",8:00p,Sacramento Kings,119,Houston Rockets,118
"Mon, Dec 9, 2019",8:00p,Orlando Magic,101,Milwaukee Bucks,110
"Mon, Dec 9, 2019",8:00p,Detroit Pistons,105,New Orleans Pelicans,103
"Mon, Dec 9, 2019",9:00p,Minnesota Timberwolves,109,Phoenix Suns,125
"Mon, Dec 9, 2019",9:00p,Oklahoma City Thunder,104,Utah Jazz,90
"Mon, Dec 9, 2019",10:30p,Memphis Grizzlies,110,Golden State Warriors,102
"Tue, Dec 10, 2019",7:00p,Washington Wizards,107,Charlotte Hornets,114
"Tue, Dec 10, 2019",8:00p,Atlanta Hawks,121,Miami Heat,135
"Tue, Dec 10, 2019",8:00p,Denver Nuggets,92,Philadelphia 76ers,97
"Tue, Dec 10, 2019",10:00p,New York Knicks,87,Portland Trail Blazers,115
"Wed, Dec 11, 2019",7:00p,Houston Rockets,116,Cleveland Cavaliers,110
"Wed, Dec 11, 2019",7:00p,Boston Celtics,117,Indiana Pacers,122
"Wed, Dec 11, 2019",7:00p,Los Angeles Lakers,96,Orlando Magic,87
"Wed, Dec 11, 2019",7:00p,Los Angeles Clippers,112,Toronto Raptors,92
"Wed, Dec 11, 2019",7:30p,Charlotte Hornets,113,Brooklyn Nets,108
"Wed, Dec 11, 2019",8:00p,Atlanta Hawks,102,Chicago Bulls,136
"Wed, Dec 11, 2019",8:00p,Utah Jazz,127,Minnesota Timberwolves,116
"Wed, Dec 11, 2019",9:00p,Memphis Grizzlies,115,Phoenix Suns,108
"Wed, Dec 11, 2019",9:30p,New Orleans Pelicans,112,Milwaukee Bucks,127
"Wed, Dec 11, 2019",10:00p,Oklahoma City Thunder,93,Sacramento Kings,94
"Wed, Dec 11, 2019",10:30p,New York Knicks,124,Golden State Warriors,122
"Thu, Dec 12, 2019",8:00p,Philadelphia 76ers,115,Boston Celtics,109
"Thu, Dec 12, 2019",8:30p,Cleveland Cavaliers,117,San Antonio Spurs,109
"Thu, Dec 12, 2019",9:00p,Dallas Mavericks,122,Detroit Pistons,111
"Thu, Dec 12, 2019",10:30p,Portland Trail Blazers,99,Denver Nuggets,114
"Fri, Dec 13, 2019",7:00p,Los Angeles Lakers,113,Miami Heat,110
"Fri, Dec 13, 2019",7:00p,Houston Rockets,130,Orlando Magic,107
"Fri, Dec 13, 2019",7:00p,New Orleans Pelicans,109,Philadelphia 76ers,116
"Fri, Dec 13, 2019",7:30p,Indiana Pacers,110,Atlanta Hawks,100
"Fri, Dec 13, 2019",8:00p,Charlotte Hornets,83,Chicago Bulls,73
"Fri, Dec 13, 2019",8:00p,Milwaukee Bucks,127,Memphis Grizzlies,114
"Fri, Dec 13, 2019",9:00p,Golden State Warriors,106,Utah Jazz,114
"Fri, Dec 13, 2019",9:30p,Los Angeles Clippers,124,Minnesota Timberwolves,117
"Fri, Dec 13, 2019",10:00p,New York Knicks,103,Sacramento Kings,101
"Sat, Dec 14, 2019",5:00p,San Antonio Spurs,121,Phoenix Suns,119
"Sat, Dec 14, 2019",7:30p,Brooklyn Nets,102,Toronto Raptors,110
"Sat, Dec 14, 2019",8:00p,Los Angeles Clippers,106,Chicago Bulls,109
"Sat, Dec 14, 2019",8:00p,Washington Wizards,111,Memphis Grizzlies,128
"Sat, Dec 14, 2019",8:30p,Miami Heat,122,Dallas Mavericks,118
"Sat, Dec 14, 2019",8:30p,Cleveland Cavaliers,108,Milwaukee Bucks,125
"Sat, Dec 14, 2019",9:00p,Oklahoma City Thunder,102,Denver Nuggets,110
"Sat, Dec 14, 2019",9:00p,Detroit Pistons,115,Houston Rockets,107
"Sun, Dec 15, 2019",3:30p,Orlando Magic,130,New Orleans Pelicans,119
"Sun, Dec 15, 2019",5:00p,Charlotte Hornets,85,Indiana Pacers,107
"Sun, Dec 15, 2019",6:00p,Los Angeles Lakers,101,Atlanta Hawks,96
"Sun, Dec 15, 2019",6:00p,Philadelphia 76ers,89,Brooklyn Nets,109
"Sun, Dec 15, 2019",8:00p,New York Knicks,105,Denver Nuggets,111
"Sun, Dec 15, 2019",8:30p,Sacramento Kings,100,Golden State Warriors,79
"Mon, Dec 16, 2019",7:00p,Washington Wizards,133,Detroit Pistons,119
"Mon, Dec 16, 2019",7:30p,Cleveland Cavaliers,113,Toronto Raptors,133
"Mon, Dec 16, 2019",8:00p,San Antonio Spurs,107,Houston Rockets,109
"Mon, Dec 16, 2019",8:00p,Miami Heat,111,Memphis Grizzlies,118
"Mon, Dec 16, 2019",8:00p,Dallas Mavericks,120,Milwaukee Bucks,116
"Mon, Dec 16, 2019",8:00p,Chicago Bulls,106,Oklahoma City Thunder,109
"Mon, Dec 16, 2019",9:00p,Portland Trail Blazers,111,Phoenix Suns,110
"Tue, Dec 17, 2019",7:00p,Sacramento Kings,102,Charlotte Hornets,110
"Tue, Dec 17, 2019",7:00p,Los Angeles Lakers,102,Indiana Pacers,105
"Tue, Dec 17, 2019",7:30p,Atlanta Hawks,120,New York Knicks,143
