Team_away,MP_away,FG_away,FGA_away,FG%_away,3P_away,3PA_away,3P%_away,FT_away,FTA_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,Team_home,MP_home,FG_home,FGA_home,FG%_home,3P_home,3PA_home,3P%_home,FT_home,FTA_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,Winner,LogRatio_home,LogRatio_away,RB_aggr_home,RB_aggr_away,eFG%_home,eFG%_away,TS%_home,TS%_away,Elo_home,Elo_away,ModelProb_Away,ModelProb_Home,OddsAway_Elo,OddsHome_Elo,HomeTeamWon
Chicago Bulls,240,37,89,0.416,10,32,0.313,16,18,0.889,10,29,39,22,7,2,19,23,100,Toronto Raptors,240,39,83,0.47,13,29,0.448,26,28,0.929,13,36,49,26,10,4,17,19,117,0,0.22650852980867975,-0.2265085298086799,0.4482758620689655,0.2777777777777778,0.5481927710843374,0.47191011235955055,0.6561238223418574,0.5378657487091223,1515.0,1485.0,0.5,0.5,2.0,2.0,1
New York Knicks,240,32,79,0.405,7,24,0.292,13,19,0.684,11,30,41,19,8,4,25,23,84,Oklahoma City Thunder,240,39,90,0.433,11,38,0.289,16,22,0.727,13,28,41,26,14,7,18,22,105,0,0.32192809488736235,-0.3219280948873623,0.43333333333333335,0.39285714285714285,0.49444444444444446,0.44936708860759494,0.5535638970898354,0.5049290694878577,1515.0,1485.0,0.5,0.5,2.0,2.0,1
Los Angeles Clippers,240,42,107,0.393,12,33,0.364,12,13,0.923,17,42,59,23,12,3,14,20,108,Los Angeles Lakers,240,37,91,0.407,4,16,0.25,14,23,0.609,12,40,52,21,8,7,19,15,92,1,-0.23132554610645567,0.2313255461064558,0.2857142857142857,0.425,0.42857142857142855,0.4485981308411215,0.47886737455756817,0.4915346805024577,1485.0,1515.0,0.5,0.5,2.0,2.0,0
Atlanta Hawks,240,36,95,0.379,7,30,0.233,12,14,0.857,6,32,38,19,11,4,13,29,91,Charlotte Hornets,240,37,86,0.43,11,36,0.306,24,30,0.8,12,45,57,17,5,4,21,18,109,0,0.26038968457823003,-0.2603896845782301,0.375,0.13333333333333333,0.4941860465116279,0.41578947368421054,0.5885529157667387,0.4639070146818923,1507.974749557942,1488.025250442058,0.515824985264735,0.4841750147352649,1.9386420366721353,2.0653688636675636,1
Portland Trail Blazers,240,46,95,0.484,9,19,0.474,13,17,0.765,11,40,51,19,5,6,9,26,114,Indiana Pacers,240,35,78,0.449,4,18,0.222,22,33,0.667,6,33,39,15,1,4,12,17,96,1,-0.24792751344358557,0.2479275134435855,0.15,0.3333333333333333,0.47435897435897434,0.531578947368421,0.5629838142153413,0.5772736479643509,1488.9963136722224,1529.5036863277776,0.5165437890740773,0.48345621092592267,1.9359442919496426,2.068439658857179,0
Cleveland Cavaliers,240,44,81,0.543,11,26,0.423,17,17,1.0,9,35,44,25,8,3,17,11,116,Milwaukee Bucks,240,38,82,0.463,11,35,0.314,10,12,0.833,8,22,30,23,9,2,14,17,97,1,-0.25806815294044455,0.2580681529404444,0.22857142857142856,0.4090909090909091,0.5304878048780488,0.6111111111111112,0.5730151228733459,0.6844465423648809,1488.3488979645986,1515.1511020354014,0.49496326548662156,0.5050367345133784,2.020351952819879,1.9800539874857561,0
Boston Celtics,240,35,84,0.417,10,29,0.345,22,32,0.688,14,41,55,16,4,5,19,24,102,Philadelphia 76ers,240,35,92,0.38,10,32,0.313,12,16,0.75,14,33,47,20,7,4,16,30,92,1,-0.1488633859144827,0.14886338591448275,0.34146341463414637,0.42424242424242425,0.43478260869565216,0.47619047619047616,0.4815745393634841,0.5601933216168716,1492.4244489822993,1504.0755510177007,0.49496326548662156,0.5050367345133784,2.020351952819879,1.9800539874857561,0
Detroit Pistons,240,43,87,0.494,10,23,0.435,15,20,0.75,10,23,33,19,12,1,19,32,111,Washington Wizards,240,40,75,0.533,6,17,0.353,29,35,0.829,7,30,37,25,12,7,16,18,115,0,0.051074184594269365,-0.05107418459426929,0.30434782608695654,0.3333333333333333,0.5733333333333334,0.5517241379310345,0.6952841596130592,0.6072210065645514,1500.0,1507.5,0.5107916914123477,0.48920830858765224,1.9577452351172413,2.0441190029805645,1
Orlando Magic,240,45,89,0.506,18,33,0.545,13,15,0.867,9,31,40,30,9,3,22,27,121,Brooklyn Nets,240,46,92,0.5,9,27,0.333,25,35,0.714,15,33,48,22,13,6,18,17,126,0,0.058416686225322076,-0.05841668622532191,0.4838709677419355,0.2727272727272727,0.5489130434782609,0.6067415730337079,0.6318956870611835,0.6554712892741063,1496.5,1503.5,0.5100724469274385,0.48992755307256153,1.9605058183867305,2.0411181076233396,1
Utah Jazz,240,37,77,0.481,9,22,0.409,14,17,0.824,7,31,38,23,10,8,19,21,97,Minnesota Timberwolves,240,36,81,0.444,7,22,0.318,21,26,0.808,10,34,44,17,11,2,15,17,100,0,0.04394334758759686,-0.043943347587597055,0.3225806451612903,0.20588235294117646,0.4876543209876543,0.538961038961039,0.5765682656826568,0.6006935843448106,1496.5,1507.5,0.515824985264735,0.4841750147352649,1.9386420366721353,2.0653688636675636,1
Sacramento Kings,240,37,87,0.425,10,23,0.435,9,13,0.692,16,41,57,20,8,3,14,18,93,Dallas Mavericks,240,31,75,0.413,11,33,0.333,15,21,0.714,7,29,36,19,8,7,12,13,88,1,-0.07972719247073407,0.07972719247073422,0.17073170731707318,0.5517241379310345,0.4866666666666667,0.4827586206896552,0.552624968600854,0.5174716225239261,1496.5,1500.0,0.5050367345133784,0.49496326548662156,1.9800539874857561,2.020351952819879,0
Golden State Warriors,240,47,92,0.511,18,41,0.439,16,20,0.8,10,39,49,29,6,8,18,23,128,New Orleans Pelicans,240,45,98,0.459,16,36,0.444,14,22,0.636,16,35,51,26,8,4,17,19,120,1,-0.09310940439148147,0.09310940439148145,0.41025641025641024,0.2857142857142857,0.5408163265306123,0.6086956521739131,0.5834305717619603,0.6639004149377593,1489.0755418398865,1503.4244581601135,0.5107916914123477,0.48920830858765224,1.9577452351172413,2.0441190029805645,0
Los Angeles Lakers,240,48,93,0.516,12,26,0.462,24,33,0.727,5,37,42,22,8,3,18,31,132,Phoenix Suns,240,45,92,0.489,14,29,0.483,26,38,0.684,10,40,50,17,8,9,19,25,130,1,-0.02202630632999891,0.02202630632999885,0.2702702702702703,0.125,0.5652173913043478,0.5806451612903226,0.6476683937823834,0.6582884500299222,1485.0,1485.0,0.5,0.5,2.0,2.0,0
