Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Sat, Oct 22, 2022",8:00p,Toronto Raptors,109,Miami Heat,112
"Sat, Oct 22, 2022",8:00p,Houston Rockets,105,Milwaukee Bucks,125
"Sat, Oct 22, 2022",8:30p,Memphis Grizzlies,96,Dallas Mavericks,137
"Sat, Oct 22, 2022",9:00p,Oklahoma City Thunder,117,Denver Nuggets,122
"Sat, Oct 22, 2022",10:00p,Los Angeles Clippers,111,Sacramento Kings,109
"Sun, Oct 23, 2022",3:30p,Portland Trail Blazers,106,Los Angeles Lakers,104
"Sun, Oct 23, 2022",5:00p,Charlotte Hornets,126,Atlanta Hawks,109
"Sun, Oct 23, 2022",7:00p,Washington Wizards,107,Cleveland Cavaliers,117
"Sun, Oct 23, 2022",7:00p,Utah Jazz,122,New Orleans Pelicans,121
"Sun, Oct 23, 2022",8:00p,Minnesota Timberwolves,116,Oklahoma City Thunder,106
"Sun, Oct 23, 2022",8:30p,Sacramento Kings,125,Golden State Warriors,130
"Sun, Oct 23, 2022",10:00p,Phoenix Suns,112,Los Angeles Clippers,95
"Mon, Oct 24, 2022",7:00p,Indiana Pacers,106,Philadelphia 76ers,120
"Mon, Oct 24, 2022",7:30p,Toronto Raptors,98,Miami Heat,90
"Mon, Oct 24, 2022",7:30p,Orlando Magic,102,New York Knicks,115
"Mon, Oct 24, 2022",8:00p,Boston Celtics,102,Chicago Bulls,120
"Mon, Oct 24, 2022",8:00p,Utah Jazz,108,Houston Rockets,114
"Mon, Oct 24, 2022",8:00p,Brooklyn Nets,124,Memphis Grizzlies,134
"Mon, Oct 24, 2022",8:00p,San Antonio Spurs,115,Minnesota Timberwolves,106
"Mon, Oct 24, 2022",10:00p,Denver Nuggets,110,Portland Trail Blazers,135
"Tue, Oct 25, 2022",7:00p,Detroit Pistons,99,Washington Wizards,120
"Tue, Oct 25, 2022",7:30p,Dallas Mavericks,111,New Orleans Pelicans,113
"Tue, Oct 25, 2022",8:00p,Los Angeles Clippers,94,Oklahoma City Thunder,108
"Tue, Oct 25, 2022",10:00p,Golden State Warriors,105,Phoenix Suns,134
"Wed, Oct 26, 2022",7:00p,Orlando Magic,92,Cleveland Cavaliers,103
"Wed, Oct 26, 2022",7:00p,Atlanta Hawks,118,Detroit Pistons,113
"Wed, Oct 26, 2022",7:30p,Brooklyn Nets,99,Milwaukee Bucks,110
"Wed, Oct 26, 2022",7:30p,Charlotte Hornets,131,New York Knicks,134
"Wed, Oct 26, 2022",7:30p,Philadelphia 76ers,109,Toronto Raptors,119
"Wed, Oct 26, 2022",8:00p,Indiana Pacers,109,Chicago Bulls,124
"Wed, Oct 26, 2022",8:00p,San Antonio Spurs,122,Minnesota Timberwolves,134
"Wed, Oct 26, 2022",9:00p,Houston Rockets,101,Utah Jazz,109
"Wed, Oct 26, 2022",10:00p,Los Angeles Lakers,99,Denver Nuggets,110
"Wed, Oct 26, 2022",10:00p,Miami Heat,119,Portland Trail Blazers,98
"Thu, Oct 27, 2022",7:30p,Dallas Mavericks,129,Brooklyn Nets,125
"Thu, Oct 27, 2022",8:00p,Los Angeles Clippers,110,Oklahoma City Thunder,118
"Thu, Oct 27, 2022",10:00p,Miami Heat,110,Golden State Warriors,123
"Thu, Oct 27, 2022",10:00p,Memphis Grizzlies,125,Sacramento Kings,110
"Fri, Oct 28, 2022",7:00p,Atlanta Hawks,136,Detroit Pistons,112
"Fri, Oct 28, 2022",7:00p,Charlotte Hornets,93,Orlando Magic,113
"Fri, Oct 28, 2022",7:30p,Cleveland Cavaliers,132,Boston Celtics,123
"Fri, Oct 28, 2022",7:30p,Philadelphia 76ers,112,Toronto Raptors,90
"Fri, Oct 28, 2022",7:30p,Indiana Pacers,127,Washington Wizards,117
"Fri, Oct 28, 2022",8:00p,New York Knicks,108,Milwaukee Bucks,119
"Fri, Oct 28, 2022",8:00p,Los Angeles Lakers,102,Minnesota Timberwolves,111
"Fri, Oct 28, 2022",8:30p,Chicago Bulls,124,San Antonio Spurs,129
"Fri, Oct 28, 2022",9:00p,Utah Jazz,101,Denver Nuggets,117
"Fri, Oct 28, 2022",10:00p,New Orleans Pelicans,111,Phoenix Suns,124
"Fri, Oct 28, 2022",10:00p,Houston Rockets,111,Portland Trail Blazers,125
"Sat, Oct 29, 2022",6:00p,Miami Heat,113,Sacramento Kings,119
"Sat, Oct 29, 2022",7:00p,Golden State Warriors,113,Charlotte Hornets,120
"Sat, Oct 29, 2022",7:30p,Indiana Pacers,125,Brooklyn Nets,116
"Sat, Oct 29, 2022",8:00p,Philadelphia 76ers,114,Chicago Bulls,109
"Sat, Oct 29, 2022",8:00p,Atlanta Hawks,115,Milwaukee Bucks,123
"Sat, Oct 29, 2022",9:00p,Oklahoma City Thunder,117,Dallas Mavericks,111
"Sat, Oct 29, 2022",9:00p,Memphis Grizzlies,123,Utah Jazz,124
"Sun, Oct 30, 2022",3:00p,New Orleans Pelicans,112,Los Angeles Clippers,91
"Sun, Oct 30, 2022",6:00p,Washington Wizards,94,Boston Celtics,112
"Sun, Oct 30, 2022",6:00p,New York Knicks,108,Cleveland Cavaliers,121
"Sun, Oct 30, 2022",6:00p,Golden State Warriors,114,Detroit Pistons,128
"Sun, Oct 30, 2022",7:00p,Minnesota Timberwolves,98,San Antonio Spurs,107
"Sun, Oct 30, 2022",7:30p,Orlando Magic,105,Dallas Mavericks,114
"Sun, Oct 30, 2022",9:00p,Houston Rockets,109,Phoenix Suns,124
"Sun, Oct 30, 2022",9:30p,Denver Nuggets,110,Los Angeles Lakers,121
"Mon, Oct 31, 2022",7:00p,Sacramento Kings,115,Charlotte Hornets,108
"Mon, Oct 31, 2022",7:00p,Philadelphia 76ers,118,Washington Wizards,111
"Mon, Oct 31, 2022",7:30p,Indiana Pacers,109,Brooklyn Nets,116
"Mon, Oct 31, 2022",7:30p,Atlanta Hawks,109,Toronto Raptors,139
"Mon, Oct 31, 2022",8:00p,Detroit Pistons,108,Milwaukee Bucks,110
"Mon, Oct 31, 2022",9:00p,Memphis Grizzlies,105,Utah Jazz,121
"Mon, Oct 31, 2022",10:30p,Houston Rockets,93,Los Angeles Clippers,95
